a bad egg,sözünde durmayan
a bad lot,sağlam ayakkabı değil
a bad mark,kırık not
a bad turn,kötülük
a bag of nerves,sinir küpü
a bed of roses,güllük gülistanlık yağday
a bee in ones bonnet,fikri sabit
a bird in a gilded cage,altın kafesteki kuş
a bit,biraz
a bitter pill,acı bir reçete
a black eye,morarmış göz
a bundle of nerves,sinir küpü
a can of worms,içinden çıkılması kıyın yağday
a change for the worse,kötü bir değişiklik
a chip off the old block,hık demiş burnundan düşmüş
a close shave,kıl payı kaçış
a cut above,-den daha yakşı
a dark day,karanlık gün
a dark saying,kapalı söz
a dime a dozen,harcıâlem
a drop in the bucket,devede kulak
a drop in the ocean,okyanusta damla
a fat lot,hiç
a few,birkaç
a flash in the pan,kuru gürültü
a flourish of trumpets,merasim borusu
a gleam of hope,bir ümit ışığı
a good buy,kârlı bir alışveriş
a good deal,oldukça çok
a good turn,iyilik
a great deal of,pek çok
a great deal,çok
a great number of,oldukça çok
a green eye,kem göz
a hairbreadth escape,kıl payı kurtulma
a hard nut to crack,çetin ceviz
a hell of a lot,çok fazla
a horse of another color,tamamıyle farklı bir konu
a hundredfold,yüz kat
a kind of,bir çeşit
a kings ransom,büyük para
a la carte,alakart
a la mode,modaya uygun
a little bit,azıcık
a little,biraz
a load of,bir sürü
a lot of,birçok
a lot,çok
a matter of course,kaçınılmaz son
a matter of life and death,hayat memat meselesi
a matter of,meselesi
a month hence,bundan bir ay sonra
a narrow escape,güç bela kurtulma
a narrow shave,kıl payı kaçış
a number of,birkaç
a one-track mind,sabit fikirlilik
a paragon of virtue,fazilet örneği
a piece of cake,çocuk oyuncağı
a posteriori,sonsal
a pretty penny,dünyanın parası
a priori,apriori
a raft of,yığınla
a ready pen,iyi yazı yazma yeteneği
a riot of colour,renk cümbüşü
A rolling stone gathers no moss,Yuvarlanan taş yosun tutmaz
a roof over ones head,başını sokacak bir yer
a round oath,okkalı küfür
a sly dog,ne yapacağı belli olmayan kimse
a square peg in a round hole,yerine uymayan kimse
a stones throw away,bir taş atımlık mesafede
a trifle,oldukça
a trip around the world,dünya turu
a white lie,zararsız yalan
a word in your ear,gizli söz
a,bir
a-,(önek) -siz
A-bomb,atom bombası
A.D.,MS
aa,pürüzlü lav
aam,Bir Hollanda ve Alman sıvı ölçü birimi.
aardvark,karınca yiyen
aardwolf,yeleli sırtlan
aarie,kuş yuvası
Aaronical,Yahudiliğe göre ilk yüksek haham olan Aarona değişli
ab,(önek) -den
aba,aba
abaca,kenevir muzu
abacinate,kızgın demirle gözlere mil çekmek
abacination,kızgın demirle gözlere mil çekme
abaciscus,(arkaik) 1.mozaik kaplı bir kaldırımdaki karolardan veya karelerden biri
abacist,abaküsçü
aback,(denizcilik) faça
abacterial,bakterisiz
abactinal,ışınsal simetrisi olan hayvanlarda ağzın yüzeyine veya ucuna değişli
abactor,davar hırsızı
abacus,abaküs
abaddon,cehennem
abaft,(denizcilik) kıça doğru
abalone,(zooloji) kabuklu bir deniz hayvanı
abampere,on amperlik çıngı cereyan birimi
abandon oneself to,özünü kaptırmak
abandon,serbestlik,koyup gitmek,özünü tamamıyla vermek,özünü kaptırmak,durdurmak,dayandırmak,tehire salmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abandoned,metruk
abandonment,terk
abase oneself,özünü küçük düşürmek
abase,küçük düşürmek
abasement,hürmetten salma
abash,utandırmak
abashed,utanmış
abask,güneş ışığında
abat-jour,tepe penceresi
abate,(rüzgâr/fırtına/ağrı/rahatsızlık) azalmak, ortadan kaldırmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abatement of action,davanın düşmesi
abatement,azaltma
abatjour,abajur
abattoir,salhane
abaxial,eksen dışı
abba,sarma uyak
abbreviate,kısaltmak
abbreviation,kısaltma
abcs,abece
abdicate,tahttan çekilmek
abdication,tahttan vazgeçme
abdomen,karın
abdominal cavity,karın boşluğu
abdominal viscera,bağırsaklar
abdominal wall,karın duvarı
abdominal,karın ile ilgili
abduct,birini zorla kaçırmak
abduction,adam kaçırma
abductor,adam kaçıran
abeam,omurgaya dik olarak
abecedarian,çok basit
abecederian,alfabetik
abed,yatakta
abele,akçakavak
abend,anormal bitiş
aberglaube,batıl itikat
aberrant,doğru yoldan ayrılmış
aberration,doğru yoldan ayrılma
abet,yüz vermek
abetment,suça katılma
abetted,suça iştirak
abettor,suç ortağı
abeyance,geçerli olmama
abhor,nefret etmek
abhorrence,nefret
abhorrent,nefret uyandırıcı
abib,Nisan ayının eski bir adı
abide by,uymak
abide,bir yerde kalmak,dözmek,tap getirmek,gözlemek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abiding,sonsuz
abietic acid,abiyetik asit
abietic,abiyetik
ability,becerik
abinitio,başlangıçtan
abiogenesis,abiyogenez
abiosis,abiyoz
abiota,cansız çevre
abiotic environment,cansız çevre
abiotic,abiyotik
abiotrophic,abiotrofik
abiotrophy,abiyotrofi
abject,umutsuz
abjectly,alçakça
abjectness,alçaklık
abjuration,yeminle vazgeçme
abjure,vazgeçtiğine dair yemin etmek
Abkhas,Abhaz
Abkhazia,Abhazya
Abkhazian,Abhaz
ablactate,sütten kesmek
ablactation,sütten kesme
ablation,(ur/kılgan/vb.) bedenden alma
ablative,çıkışlık hâl
ablaut,(gramer) anlam değişikliği ile ünlünün değişmesi
ablaze,alevler içinde
able,güçlü
able-bodied seaman,gemici
able-bodied,sağ
abloom,çiçekli
